Price,Close,High,Low,Open,Volume
Ticker,COIN,COIN,COIN,COIN,COIN
Date,,,,,
2025-04-08,151.47000122070312,167.8000030517578,147.35000610351562,165.1999969482422,11117400
2025-04-09,177.08999633789062,183.89999389648438,150.0800018310547,150.0800018310547,15258000
2025-04-10,169.6199951171875,173.82000732421875,159.11000061035156,168.5,11196300
2025-04-11,175.5,178.0,167.0,171.3000030517578,7769300
2025-04-14,176.5800018310547,182.38999938964844,172.00999450683594,180.5,6420600
